rid,city,candidate,gender,party,votes,total,won,year,position
BARMM,MAGUINDANAO,"MACAUYAG, CAMAR -",0,NUCD,14312,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MAKAKUA, MANDO M.",0,NPC,6161,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MALA, DIRON -",0,PP-NPC,9837,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MAMPON, SULTAN CASAR P.",0,PRP,9654,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MARANDANG, DATU ESMAEL M.",0,LDP,17951,333896,1,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MATABALAO, SULAIMAN L.",0,PMP,1573,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MOKAMAD, BAIWATA D.",0,LP-KBL,3344,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"PASANDALAN, MANDO B.",0,IPP,5049,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"PASIGAN, ESMAEL M.",0,IPP,9887,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"SABPA, NESTOR B.",0,PMP,870,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"SINSUAT, DATU HAAKON P.",0,NPC,14621,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"SUENAN, ROMEO D.",0,PMP,3226,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"TAYUAN, CABO D.",0,PMP,1396,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"ZAILON, USMAN D.",0,IPP,10687,333896,0,1992,1st District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"ANDAYA, ALVARO -",0,INDEPENDENT,396,113724,0,1992,1st District Representative
BARMM,MAGUINDANAO,"BAUTISTA, FELIXBERTO -",0,INDEPENDENT,368,113724,0,1992,1st District Representative
BARMM,MAGUINDANAO,"DELANGALEN, DIDAGEN -",0,PP-NPC,33795,113724,0,1992,1st District Representative
BARMM,MAGUINDANAO,"IBAY, NOAH -",0,NUCD-UMDP,21487,113724,0,1992,1st District Representative
BARMM,MAGUINDANAO,"JULIANO, ESTRELLITA -",0,INDEPENDENT,18296,113724,0,1992,1st District Representative
BARMM,MAGUINDANAO,"LAO, GILBERT H.",0,PMP,1033,113724,0,1992,1st District Representative
BARMM,MAGUINDANAO,"LIMBA, ROGER B.",0,KBL,431,113724,0,1992,1st District Representative
BARMM,MAGUINDANAO,"MASTURA, MICHAEL O.",0,LDP,37918,113724,0,1992,1st District Representative
BARMM,MAGUINDANAO,"ABDUL, UYAG S.",0,NPC,5775,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"ALI, ADZIS K.",0,LDP,13483,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"ALIM, DATULNA B.",0,PMP,3068,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"AMOLAN, RAMON Z.",0,NPC,4973,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"AMPATUAN, DATU ALRASID E.",0,PMP,1614,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"AMPATUAN, DATU GANDI MASUKAT -",0,KBL,2535,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"AMPATUAN, DATU MUDIN P.",0,LDP,22015,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"ANGAS, PIGCAULAN T.",0,KBL,1214,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"ANTAO, KELIE U.",0,PMP,502,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"ANWAR, HADJI MOHAMMAD A.",0,-,4949,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"BANSIGAN, AMANDO T.",0,LDP,8144,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"BEDA, SAMIR M.",0,INDEPENDENT,9371,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"CANOY, AMADO R.",0,INDEPENDENT,8739,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"HASHIM, MONER S.",0,KBL,337,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"KABAGAN, MENTANG T.",0,LAKAS-NUCD,10010,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"KAMINO, DATU LAMA K.",0,PRP,453,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"KARON, DATU IBRAHIM T.",0,LAKAS-NUCD,3594,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"LEBAS, AKMAD U.",0,KBL,247,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"LUNA, TATO A.",0,LP-PDP,1780,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MACABANGEN, OMAR M.",0,LAKAS-NUCD,5032,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MAMA, KASAN S.",0,KBL,747,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MAMALINTA, BAI NAILA M.",0,LDP,25757,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MAMALUBA, NURODIN M.",0,NPC,26128,339736,1,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MANGULAMAS, BASIT B.",0,KBL,712,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MAPANDALA, DATUMAMA S.",0,LAKAS-NUCD,17315,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MATALAM, ABRAHAM B.",0,LAKAS-NUCD,12937,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"MEDIANGKIT, ANGEL M.",0,PRP,465,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"PENDATUN, DATU SALIPUDIN M.",0,PMP,10354,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"PILAS, SANGGACALA B.",0,KBL,262,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"RAJAMUDA, DATU GAPOR A.",0,NPC,5745,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"SALIK, SANID S.",0,KBL,28707,339736,1,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"SAMAMA, VICTOR T.",0,NPC,30570,339736,1,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"SANGKI, ALI B.",0,IPP,29572,339736,1,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"SILONGAN, SAHARA U.",0,LDP,40047,339736,1,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"UTTO, BAI ZENAIDA M.",0,LAKAS-NUCD,2583,339736,0,1992,2nd District Sangguniang Panlalawigan
BARMM,MAGUINDANAO,"DATUMANONG, SIMEON A.",0,LDP-NP,53264,94767,0,1992,2nd District Representative
BARMM,MAGUINDANAO,"MATALAM, GUIMID P.",0,NUCD-UMDP,40588,94767,0,1992,2nd District Representative
BARMM,MAGUINDANAO,"PANGILINAN, DATU ESMAEL -",0,-,289,94767,0,1992,2nd District Representative
BARMM,MAGUINDANAO,"USMAN, IBRAHIM D.",0,PMP,626,94767,0,1992,2nd District Representative
BARMM,MAGUINDANAO,"ABDULA, ODIN T.",0,KBL,13010,156381,0,1992,Vice-Governor
BARMM,MAGUINDANAO,"CANDAO, DATU MA'AROUPH B.",0,LDP,84781,156381,0,1992,Vice-Governor
BARMM,MAGUINDANAO,"LIDASAN, TAHIR A.",0,LP/LAKAS-NUCD,58590,156381,0,1992,Vice-Governor
BARMM,SULU,"AMILHASAN, SARRI J",0,-,134,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"ALBANI, LAUREL T.",0,PMP,213,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"AMINULLAH, SAIDUL M.",0,KBL,896,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"ASAARI, JAINAL J",0,KBL,403,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"ASTIH, HADJI AIYOB J",0,NP,1071,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"BUCLAO, HECTOR M.",0,LAKAS-NUCD,31286,270195,1,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"BUKLAO, MAHALAIL T.",0,PMP,903,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"GONZALES, JIMMY C.",0,PMP,532,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"HASSAN, YASSER S.",0,LDP,22300,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"HASSIMAN, OMAR T.",0,KBL,636,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"IBNO, HADJI JUMDAIL -",0,PMP,420,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"JAINAL, SALIP ALOY A.",0,LDP,31096,270195,1,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"JILAH, ALI-USMAN N.",0,KBL,590,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"KAMLON, MUTMAINNA I.",0,INDEPENDENT,5169,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"KIRAM, DATU ESMAIL D.",0,LP(KOAL. PAMBANSA),5078,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"MALDISA, HADJA KARTINI I.",0,LDP,25983,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"MANGKABONG, ABDULPATTA -",0,KBL,3164,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"PANGAMBAYAN, ABRAHAM J",0,NP(PPNP COAL),2750,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"SALI, HADJI AHMAD A.",0,NPC,10651,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"SAMPANG, BARIK M.",0,LDP,26110,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"SANGKULA, AKUK A.",0,LAKAS-NUCD,32847,270195,1,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"TAHIL, JUL-AMIN S.",0,NP,2117,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"TANDIH, GADJALIH M.",0,LAKAS TAO/NUCD-UMDP,27707,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"TUBADJIL, HADJI MUKTADIR A.",0,KBL,611,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"TULAWIE, LYNDEN S. LYN",0,LAKAS-NUCD,36650,270195,1,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"YUSOP, EDRALIN HAIRON -",0,KBL,878,270195,0,1992,1st District Sangguniang Panlalawigan
BARMM,SULU,"ABUBAKAR, HASHIM R.",0,NPC,4513,85834,0,1992,1st District Representative
BARMM,SULU,"HADJIBUN, ABDULPATTA A.",0,PMP,101,85834,0,1992,1st District Representative
BARMM,SULU,"LAKIBUL, HADJI ABDULMOIN H.",0,KBL,1943,85834,0,1992,1st District Representative
BARMM,SULU,"LOONG, HADJI HUSSIN T.",0,LDP,35734,85834,0,1992,1st District Representative
BARMM,SULU,"RADIATE, HANJADA A.",0,KBL,275,85834,0,1992,1st District Representative
BARMM,SULU,"TULAWIE, BENSAUDI O.",0,LAKAS-NUCD,43268,85834,0,1992,1st District Representative
BARMM,SULU,"ALIH, JAMIL SURAYYA -",0,INDEPENDENT,5305,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"ANDAN, RIGDUAN H.",0,KBL,425,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"ANNI, RAHINA T.",0,NUCD,9586,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"BASA, KAHAL M.",0,KBL,336,171276,0,1992,2nd District Sangguniang Panlalawigan
